question_id,subject,class,chapter_number,chapter_title,medium,difficulty,answer_type,marks,text,options,key_answer,exam_type,year,group_heading,chapter_id,standard,found_in_pdf,match_score,pdf_source,pdf_section
698c22dcec065fd7420d78be,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Easy,fill_in_the_blank,1.0,"Rearrange the steps of washing your hands. 
A) Rub both hands for 20 seconds.
B) Wet your hands.
C) Wash your hands thoroughly with water.
D) Apply soap or hand wash.",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,43.03030303030303,english_6.pdf,POEM
698c22dcec065fd7420d78bf,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Difficult,fill_in_the_blank,1.0,"Project Work. 
Collect pictures and make a project on Honey making.
Kindness to Animals (Poem)",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,45.16129032258065,english_6.pdf,POEM
698c22dcec065fd7420d78c0,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Easy,fill_in_the_blank,1.0,"Little children, never give pain to things that ________
A) give and take
B) big and small
C) feel and live
D) come and go",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,False,46.721311475409834,english_6.pdf,POEM
698c22dcec065fd7420d78c1,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"Let the gentle robin come home for the ________ you save. 
A) grains
B) money
C) wealth
D) crumbs",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,True,57.29166666666667,english_6.pdf,POEM
698c22dcec065fd7420d78c2,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Easy,fill_in_the_blank,1.0,"The little lark goes soaring high to the bright windows of the ________
A) school
B) sky
C) house
D) car",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,True,52.88461538461539,english_6.pdf,POEM
698c22dcec065fd7420d78c3,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,Where does the little hare lie?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,51.61290322580645,english_6.pdf,POEM
698c22dcec065fd7420d78c4,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,What is the little lark doing?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,50.0,english_6.pdf,POEM
698c22dcec065fd7420d78c5,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,Why does the robin come home?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,48.275862068965516,english_6.pdf,POEM
698c22dcec065fd7420d78c6,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Difficult,fill_in_the_blank,1.0,Why we call hare a timid animal?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,43.75,english_6.pdf,POEM
698c22dcec065fd7420d78c7,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,Where does the lark fly?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,50.0,english_6.pdf,POEM
698c22dcec065fd7420d78c8,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Easy,fill_in_the_blank,1.0,Who is the speaker in the poem?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,51.61290322580645,english_6.pdf,POEM
698c22dcec065fd7420d78c9,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Easy,fill_in_the_blank,1.0,In which season the lark sings happily?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,46.15384615384615,english_6.pdf,POEM
698c22dcec065fd7420d78ca,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Difficult,fill_in_the_blank,1.0,What advice does the poet give to the children?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,51.06382978723405,english_6.pdf,POEM
698c22dcec065fd7420d78cb,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,I am black and white. I have four legs. I am like a horse. Who am I?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,45.58823529411765,english_6.pdf,POEM
698c22dcec065fd7420d78cc,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,I am soft.  I have a fluffy tail. I eat carrots. Who am I?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,43.85964912280702,english_6.pdf,POEM
698c22dcec065fd7420d78cd,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,I have a long body. My teeth are sharp. I can swim. Who am I?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,45.90163934426229,english_6.pdf,POEM
698c22dcec065fd7420d78ce,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,I am big. I have a long trunk. I have a short tail. Who am I?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,44.26229508196722,english_6.pdf,POEM
698c22dcec065fd7420d78cf,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,I have a long neck. I have four long legs. I eat leaves. Who am I?,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,48.484848484848484,english_6.pdf,POEM
698c22dcec065fd7420d78d0,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"The children   …………………. (plays / play) 
The child …………………….",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,False,27.906976744186053,english_6.pdf,POEM
698c22dcec065fd7420d78d1,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"The girl ………………………. (jumps/ jump) 
The girls ………………………",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,False,24.71910112359551,english_6.pdf,POEM
698c22dcec065fd7420d78d2,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"The cow ……………………….  (eats / eat) 
The cows …………………….",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,False,28.57142857142857,english_6.pdf,POEM
698c22dcec065fd7420d78d3,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"The snake   …………………….  (crawls / crawl) 
The snakes …………………….",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,False,30.136986301369863,english_6.pdf,POEM
698c22dcec065fd7420d78d4,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"The boys ……………………….  (swim / swims) 
The boy ……………………….",[],,LBA,2025-26,Fill in the Blanks,67ca912d9f0501ae9196acbb,6,False,25.842696629213478,english_6.pdf,POEM
698c22dcec065fd7420d78d5,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"Match the qualities in column A with the animals in column B. 
A
B",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,False,44.61538461538461,english_6.pdf,POEM
698c22dcec065fd7420d78d6,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,Timid,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,60.0,english_6.pdf,POEM
698c22dcec065fd7420d78d7,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,Cunning,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,57.14285714285714,english_6.pdf,POEM
698c22dcec065fd7420d78d8,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,Ferocious,[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,55.55555555555556,english_6.pdf,POEM
698c22dcec065fd7420d78d9,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"Naughty
Lion
Hare
Monkey
Fox",[],,LBA,2025-26,Short Answers,67ca912d9f0501ae9196acbb,6,True,50.0,english_6.pdf,POEM
698c22dcec065fd7420d78da,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,VI. Project:,[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196acbb,6,False,41.666666666666664,english_6.pdf,POEM
698c22dcec065fd7420d78db,english,6,6.0,POEM: KINDNESS TO ANIMALS,English,Average,fill_in_the_blank,1.0,"Collect the pictures of domestic and wild animals and prepare an album.
-----@@@@@-----",[],,LBA,2025-26,One Sentence Answers,67ca912d9f0501ae9196acbb,6,False,37.93103448275862,english_6.pdf,POEM
